j,t,Girls,Boys,Women,Men
10203019065,2004,0,0,1,3
10203019073,2004,1,1,1,1
10203019074,2004,3,3,1,2
10203019080,2004,0,0,1,1
10203019086,2004,0,0,3,1
10203019097,2004,3,3,1,1
10203019099,2004,1,1,1,1
10203019104,2004,1,1,1,1
10203019116,2004,2,2,1,1
10203019117,2004,0,0,1,1
10203019124,2004,0,0,1,1
10203035014,2004,2,2,1,1
10203035022,2004,2,2,1,1
10203035023,2004,1,1,1,1
10203035024,2004,4,4,1,2
10203035027,2004,0,0,0,1
10203035028,2004,2,2,1,0
10203035034,2004,1,1,1,1
10203035039,2004,0,0,0,1
10203035050,2004,1,1,1,1
10203035051,2004,4,4,1,1
10203035053,2004,0,0,1,0
10203035063,2004,3,3,1,2
10203035074,2004,1,1,1,1
10203035077,2004,0,0,1,1
10203035095,2004,1,1,1,1
10203035097,2004,0,0,1,3
10203035104,2004,1,1,1,1
10203035106,2004,1,1,1,1
10203035111,2004,3,3,1,1
10203035121,2004,0,0,0,1
10204021046,2004,0,0,1,1
10204021048,2004,1,1,1,1
10204021049,2004,2,2,3,4
10204021053,2004,0,0,1,1
10204021056,2004,1,1,1,1
10204021064,2004,0,0,2,1
10204021066,2004,2,2,1,1
10204021072,2004,1,1,1,1
10204021093,2004,1,1,3,1
10204021107,2004,1,1,1,1
10204021112,2004,0,0,3,1
10204021123,2004,1,1,2,2
10204021130,2004,0,0,1,1
10204021136,2004,2,2,1,1
10204021156,2004,0,0,1,2
10204021194,2004,0,0,1,1
10204021255,2004,1,1,1,1
10204021262,2004,1,1,1,1
10204021276,2004,3,3,2,2
10204021279,2004,2,2,1,0
10204801020,2004,2,2,1,1
10204801023,2004,1,1,1,1
10204801036,2004,0,0,1,1
10204801041,2004,3,3,1,0
10204801088,2004,2,2,1,1
10204801096,2004,1,1,1,2
10204801122,2004,0,0,1,1
10204801152,2004,2,2,2,1
10204801159,2004,0,0,1,2
10204801171,2004,2,2,1,3
10204801172,2004,0,0,1,0
10204801179,2004,1,1,3,2
10204801192,2004,1,1,1,2
10204801198,2004,2,2,1,1
10204801203,2004,0,0,0,1
10204801218,2004,0,0,2,2
10204801230,2004,1,1,1,1
10204801235,2004,1,1,1,1
10204801246,2004,0,0,1,1
10204801253,2004,0,0,0,1
10205005008,2004,0,0,1,1
10205005011,2004,3,3,2,1
10205005015,2004,1,1,1,0
10205005039,2004,3,3,2,1
10205005041,2004,1,1,1,1
10205005046,2004,1,1,2,3
10205005105,2004,0,0,2,1
10205005125,2004,2,2,1,1
10205005130,2004,2,2,1,1
10205005144,2004,0,0,1,1
10205005174,2004,3,3,1,2
10205005205,2004,4,4,2,2
10205005228,2004,5,5,2,1
10205005241,2004,0,0,2,0
10205005290,2004,3,3,4,2
10205005292,2004,0,0,1,1
10205005310,2004,2,2,2,1
10205005335,2004,1,1,2,1
10205005352,2004,2,2,1,1
10205005362,2004,4,4,1,2
10205011003,2004,0,0,1,1
10205011007,2004,1,1,1,1
10205011020,2004,3,3,1,1
10205011033,2004,2,2,0,3
10205011044,2004,4,4,2,1
10205011052,2004,0,0,1,1
10205011066,2004,1,1,1,1
10205011084,2004,2,2,1,1
10205011093,2004,1,1,1,1
10205011101,2004,0,0,0,1
10205011103,2004,2,2,1,1
10205011114,2004,2,2,1,1
10205011125,2004,0,0,1,1
10205011133,2004,0,0,1,1
10205011144,2004,2,2,1,1
10205011154,2004,0,0,1,1
10205011155,2004,1,1,1,1
10205011168,2004,2,2,1,1
10205011188,2004,2,2,2,1
10205011195,2004,0,0,1,0
10220712010,2004,3,3,2,0
10220712067,2004,0,0,1,0
10220712084,2004,1,1,2,1
10220712091,2004,1,1,1,2
10220712092,2004,2,2,1,1
10220712165,2004,0,0,1,1
10220712177,2004,4,4,1,1
10220712178,2004,2,2,1,1
10220712183,2004,0,0,1,3
10220712197,2004,0,0,3,2
10220712210,2004,0,0,2,1
10220712212,2004,1,1,1,1
10220712231,2004,2,2,1,1
10220712249,2004,4,4,3,0
10220712253,2004,4,4,1,1
10220712262,2004,0,0,1,3
10220712285,2004,2,2,2,0
10220712291,2004,0,0,1,1
10220712297,2004,0,0,2,1
10220712318,2004,0,0,1,2
10220715013,2004,2,2,1,1
10220715021,2004,0,0,0,5
10220715025,2004,0,0,0,1
10220715030,2004,0,0,1,0
10220715032,2004,0,0,1,1
10220715034,2004,0,0,0,2
10220715039,2004,0,0,1,1
10220715040,2004,0,0,0,1
10220715044,2004,0,0,2,2
10220715051,2004,3,3,2,1
10220715059,2004,1,1,1,1
10220715063,2004,1,1,1,3
10220715069,2004,1,1,1,0
10220715073,2004,2,2,1,1
10220715085,2004,0,0,0,1
10220715087,2004,2,2,1,3
10220715094,2004,4,4,1,1
10220715114,2004,0,0,1,1
10220715139,2004,1,1,2,1
10220715187,2004,0,0,0,1
10301002017,2004,0,0,1,1
10301002019,2004,1,1,1,0
10301002038,2004,0,0,0,1
10301002040,2004,1,1,1,1
10301002044,2004,1,1,1,1
10301002049,2004,2,2,2,2
10301002083,2004,4,4,1,1
10301002087,2004,1,1,3,1
10301002095,2004,1,1,2,1
10301002109,2004,0,0,1,2
10301002120,2004,3,3,1,1
10301002125,2004,0,0,3,4
10301002150,2004,1,1,1,1
10301002151,2004,0,0,1,1
10301002173,2004,0,0,0,1
10301002175,2004,2,2,3,1
10301002203,2004,2,2,1,1
10301002212,2004,0,0,1,1
10301002260,2004,0,0,1,1
10301002286,2004,0,0,2,1
10301020051,2004,0,0,1,1
10301020056,2004,0,0,2,0
10301020058,2004,0,0,1,1
10301020068,2004,2,2,1,1
10301020107,2004,3,3,1,1
10301020127,2004,1,1,1,1
10301020153,2004,2,2,1,1
10301020160,2004,0,0,1,2
10301020163,2004,0,0,0,1
10301020169,2004,0,0,1,1
10301020171,2004,1,1,1,1
10301020186,2004,0,0,1,1
10301020209,2004,0,0,0,1
10301020236,2004,3,3,1,0
10301020251,2004,0,0,1,1
10301020299,2004,0,0,1,1
10301020308,2004,1,1,1,1
10301020309,2004,0,0,1,1
10301020336,2004,2,2,1,1
10301020346,2004,0,0,1,1
10302002025,2004,1,1,1,1
10302002043,2004,1,1,1,0
10302002052,2004,0,0,0,1
10302002058,2004,0,0,1,1
10302002066,2004,1,1,1,1
10302002086,2004,0,0,1,1
10302002089,2004,1,1,1,1
10302002098,2004,3,3,1,0
10302002103,2004,0,0,0,1
10302002104,2004,0,0,0,1
10302002107,2004,0,0,1,1
10302002110,2004,0,0,1,0
10302002114,2004,3,3,3,1
10302002123,2004,4,4,1,2
10302002125,2004,0,0,2,0
10302002127,2004,0,0,1,1
10302002129,2004,2,2,2,0
10302002161,2004,0,0,1,1
10302002163,2004,1,1,1,1
10302002166,2004,0,0,2,0
10304002006,2004,1,1,2,0
10304002013,2004,0,0,1,1
10304002014,2004,1,1,1,1
10304002043,2004,1,1,1,1
10304002061,2004,2,2,2,1
10304002073,2004,0,0,0,1
10304002080,2004,2,2,1,1
10304002084,2004,0,0,3,0
10304002111,2004,2,2,1,1
10304002120,2004,1,1,4,0
10304002132,2004,0,0,2,1
10304002143,2004,0,0,1,1
10304002153,2004,0,0,1,1
10304002163,2004,1,1,1,2
10304002165,2004,2,2,2,0
10304002169,2004,1,1,1,1
10304002192,2004,0,0,1,1
10304002203,2004,3,3,1,1
10304002206,2004,0,0,2,0
10304002213,2004,2,2,1,1
10305002016,2004,0,0,1,1
10305002052,2004,0,0,1,1
10305002124,2004,1,1,1,1
10305002136,2004,0,0,1,1
10305002193,2004,5,5,3,3
10305002194,2004,1,1,1,1
10305002206,2004,0,0,1,1
10305002207,2004,3,3,1,1
10305002223,2004,1,1,1,1
10305002239,2004,0,0,1,2
10305002242,2004,1,1,1,1
10305002259,2004,0,0,1,1
10305002312,2004,2,2,1,1
10305002326,2004,1,1,1,0
10305002355,2004,1,1,1,0
10305002382,2004,1,1,1,1
10305002392,2004,5,5,4,0
10305002429,2004,1,1,1,1
10305002437,2004,0,0,0,1
10305002454,2004,0,0,0,1
10306008007,2004,0,0,0,1
10306008014,2004,0,0,1,1
10306008040,2004,2,2,1,2
10306008045,2004,1,1,3,0
10306008068,2004,3,3,4,0
10306008102,2004,0,0,2,2
10306008113,2004,3,3,2,1
10306008116,2004,1,1,3,1
10306008118,2004,3,3,2,1
10306008121,2004,1,1,2,1
10306008140,2004,1,1,1,1
10306008142,2004,2,2,2,1
10306008158,2004,0,0,2,1
10306008161,2004,0,0,0,3
10306008171,2004,0,0,1,1
10306008201,2004,1,1,1,1
10306008205,2004,0,0,1,1
10306008216,2004,0,0,1,1
10306008220,2004,3,3,1,1
10306008261,2004,2,2,1,1
10306009011,2004,2,2,2,1
10306009040,2004,0,0,2,0
10306009088,2004,3,3,2,3
10306009092,2004,1,1,1,1
10306009094,2004,2,2,1,1
10306009111,2004,1,1,1,0
10306009125,2004,1,1,1,1
10306009126,2004,1,1,1,2
10306009156,2004,2,2,1,1
10306009164,2004,2,2,3,2
10306009167,2004,3,3,1,1
10306009177,2004,1,1,1,1
10306009185,2004,1,1,2,4
10306009195,2004,1,1,3,1
10306009235,2004,2,2,1,1
10306009278,2004,0,0,3,3
10306009304,2004,2,2,3,0
10306009306,2004,4,4,2,1
10306009334,2004,0,0,2,1
10306009350,2004,0,0,0,2
10306010006,2004,1,1,1,1
10306010007,2004,3,3,2,1
10306010015,2004,0,0,0,3
10306010018,2004,3,3,2,2
10306010043,2004,0,0,1,1
10306010046,2004,0,0,0,2
10306010081,2004,0,0,1,1
10306010087,2004,4,4,1,1
10306010104,2004,2,2,1,0
10306010123,2004,0,0,1,1
10306010131,2004,0,0,1,1
10306010157,2004,0,0,1,1
10306010176,2004,0,0,0,1
10306010214,2004,2,2,1,1
10306010241,2004,0,0,0,2
10306010250,2004,0,0,0,3
10306010264,2004,0,0,1,1
10306010267,2004,0,0,1,1
10306010326,2004,0,0,0,1
10306010351,2004,0,0,2,0
10307004009,2004,0,0,1,1
10307004058,2004,1,1,1,2
10307004091,2004,1,1,2,1
10307004092,2004,2,2,2,0
10307004153,2004,0,0,1,1
10307004155,2004,1,1,1,1
10307004175,2004,1,1,1,1
10307004240,2004,2,2,1,1
10307004247,2004,1,1,3,1
10307004249,2004,0,0,2,1
10307004274,2004,0,0,0,1
10307004276,2004,0,0,2,0
10307004282,2004,4,4,2,1
10307004283,2004,1,1,1,1
10307004295,2004,0,0,1,1
10307004300,2004,1,1,1,1
10307004316,2004,0,0,2,0
10307004352,2004,2,2,3,0
10307004378,2004,2,2,1,1
10307004400,2004,0,0,2,0
10308001005,2004,2,2,1,1
10308001028,2004,0,0,5,2
10308001066,2004,1,1,1,1
10308001075,2004,0,0,0,2
10308001103,2004,0,0,3,2
10308001111,2004,3,3,1,1
10308001132,2004,2,2,2,2
10308001158,2004,0,0,2,1
10308001172,2004,1,1,1,0
10308001199,2004,0,0,1,1
10308001222,2004,2,2,1,0
10308001234,2004,2,2,1,1
10308001263,2004,3,3,1,0
10308001279,2004,1,1,2,1
10308001286,2004,0,0,2,1
10308001301,2004,1,1,1,1
10308001357,2004,2,2,2,2
10308001388,2004,1,1,1,1
10308001399,2004,1,1,1,1
10308001403,2004,1,1,1,1
10308005003,2004,0,0,1,0
10308005018,2004,1,1,1,1
10308005021,2004,0,0,2,0
10308005050,2004,1,1,1,2
10308005065,2004,2,2,4,0
10308005085,2004,1,1,1,0
10308005109,2004,2,2,2,1
10308005177,2004,2,2,1,1
10308005193,2004,0,0,1,1
10308005196,2004,4,4,1,1
10308005207,2004,1,1,3,1
10308005215,2004,1,1,1,3
10308005227,2004,2,2,2,1
10308005247,2004,0,0,1,1
10308005266,2004,0,0,1,1
10308005282,2004,0,0,1,0
10308005295,2004,0,0,2,0
10308005302,2004,1,1,1,1
10308005329,2004,1,1,2,2
10308005349,2004,1,1,1,1
10309004013,2004,1,1,3,2
10309004017,2004,1,1,1,1
10309004021,2004,0,0,1,1
10309004038,2004,0,0,0,1
10309004050,2004,1,1,1,1
10309004054,2004,1,1,1,1
10309004055,2004,0,0,1,1
10309004056,2004,0,0,1,1
10309004065,2004,4,4,2,1
10309004070,2004,1,1,1,1
10309004071,2004,0,0,0,1
10309004075,2004,0,0,2,1
10309004078,2004,0,0,0,2
10309004100,2004,2,2,1,1
10309004104,2004,0,0,0,1
10309004133,2004,0,0,0,1
10309004165,2004,3,3,1,2
10309004175,2004,2,2,1,1
10309004178,2004,1,1,1,1
10309004179,2004,1,1,2,1
10401005025,2004,3,3,3,2
10401005027,2004,0,0,1,0
10401005041,2004,1,1,1,4
10401005043,2004,0,0,1,0
10401005048,2004,1,1,1,1
10401005094,2004,0,0,1,1
10401005100,2004,0,0,2,1
10401005108,2004,1,1,1,1
10401005163,2004,0,0,1,1
10401005175,2004,1,1,2,0
10401005222,2004,1,1,1,1
10401005245,2004,1,1,1,0
10401005246,2004,2,2,1,1
10401005249,2004,0,0,1,1
10401005251,2004,0,0,1,1
10401005254,2004,0,0,1,1
10401005257,2004,2,2,1,1
10401005271,2004,0,0,1,1
10401005288,2004,1,1,1,0
10401005289,2004,2,2,2,1
10401031020,2004,0,0,1,1
10401031024,2004,1,1,1,0
10401031029,2004,4,4,1,1
10401031031,2004,0,0,1,0
10401031035,2004,2,2,1,1
10401031046,2004,0,0,1,0
10401031048,2004,1,1,1,1
10401031050,2004,3,3,1,0
10401031055,2004,0,0,1,0
10401031082,2004,2,2,1,1
10401031083,2004,0,0,1,1
10401031093,2004,0,0,2,0
10401031096,2004,0,0,1,1
10401031168,2004,1,1,1,1
10401031199,2004,0,0,1,1
10401031209,2004,0,0,3,1
10401031221,2004,0,0,1,1
10401031232,2004,0,0,0,1
10401031243,2004,2,2,1,1
10401031248,2004,3,3,2,1
10401038064,2004,0,0,1,1
10401038067,2004,0,0,1,1
10401038071,2004,0,0,1,0
10401038081,2004,1,1,1,1
10401038091,2004,0,0,1,0
10401038093,2004,1,1,1,1
10401038102,2004,2,2,0,1
10401038110,2004,3,3,1,1
10401038129,2004,0,0,1,1
10401038132,2004,0,0,1,1
10401038140,2004,2,2,1,1
10401038176,2004,1,1,1,0
10401038180,2004,0,0,1,1
10401038188,2004,2,2,1,1
10401038204,2004,0,0,1,2
10401038205,2004,0,0,1,0
10401038212,2004,1,1,1,1
10401038216,2004,4,4,1,1
10401038221,2004,2,2,1,1
10401038258,2004,0,0,2,1
10402002028,2004,0,0,1,1
10402002036,2004,0,0,1,2
10402002071,2004,1,1,3,2
10402002079,2004,4,4,1,2
10402002085,2004,3,3,1,1
10402002094,2004,2,2,1,1
10402002128,2004,4,4,1,1
10402002165,2004,5,5,1,1
10402002188,2004,5,5,3,1
10402002197,2004,1,1,2,1
10402002204,2004,2,2,1,1
10402002220,2004,2,2,1,2
10402002227,2004,3,3,1,4
10402002228,2004,1,1,1,1
10402002240,2004,0,0,1,1
10402002252,2004,4,4,2,2
10402002270,2004,1,1,1,1
10402002280,2004,2,2,1,1
10402002337,2004,0,0,0,1
10402002358,2004,1,1,2,0
10403004013,2004,2,2,1,1
10403004016,2004,1,1,1,1
10403004051,2004,1,1,2,1
10403004053,2004,2,2,1,1
10403004072,2004,2,2,1,1
10403004100,2004,2,2,1,3
10403004117,2004,1,1,1,1
10403004145,2004,1,1,2,2
10403004165,2004,1,1,1,1
10403004168,2004,3,3,2,1
10403004208,2004,0,0,1,1
10403004220,2004,0,0,1,1
10403004225,2004,0,0,0,1
10403004229,2004,0,0,1,1
10403004240,2004,1,1,2,2
10403004249,2004,0,0,1,3
10403004252,2004,2,2,1,2
10403004270,2004,0,0,1,1
10403004291,2004,1,1,1,1
10403004303,2004,0,0,1,1
10404001001,2004,1,1,3,3
10404001007,2004,2,2,2,1
10404001011,2004,0,0,1,0
10404001015,2004,2,2,1,1
10404001021,2004,2,2,1,2
10404001030,2004,0,0,1,1
10404001034,2004,2,2,1,1
10404001037,2004,0,0,1,2
10404001040,2004,2,2,2,1
10404001047,2004,2,2,2,4
10404001054,2004,1,1,2,1
10404001055,2004,3,3,1,0
10404001064,2004,1,1,1,1
10404001071,2004,2,2,1,1
10404001078,2004,0,0,1,1
10404001085,2004,3,3,1,2
10404001088,2004,2,2,1,2
10404001099,2004,2,2,2,0
10404001102,2004,4,4,1,4
10404001121,2004,1,1,3,0
10404010010,2004,0,0,1,1
10404010022,2004,2,2,2,1
10404010032,2004,0,0,2,4
10404010047,2004,2,2,1,0
10404010055,2004,2,2,2,2
10404010066,2004,1,1,1,1
10404010094,2004,1,1,1,2
10404010109,2004,1,1,1,1
10404010116,2004,2,2,1,1
10404010119,2004,2,2,1,1
10404010128,2004,2,2,2,0
10404010137,2004,2,2,1,1
10404010151,2004,0,0,0,1
10404010162,2004,0,0,1,1
10404010168,2004,0,0,1,1
10404010187,2004,0,0,1,3
10404010201,2004,0,0,0,1
10404010209,2004,2,2,1,1
10404010219,2004,2,2,1,1
10404010221,2004,0,0,1,1
10407001020,2004,0,0,1,1
10407001029,2004,0,0,1,1
10407001032,2004,0,0,1,2
10407001035,2004,0,0,1,1
10407001042,2004,1,1,1,1
10407001053,2004,0,0,1,2
10407001061,2004,2,2,1,1
10407001068,2004,2,2,1,0
10407001072,2004,1,1,1,1
10407001074,2004,1,1,1,1
10407001077,2004,2,2,1,1
10407001087,2004,0,0,2,0
